City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
258,tolanaro,MG,2023-11-13 13:56:37,-25.0319,46.9987,7,88,70.55600000000004,2.33
259,crane,US,2023-11-13 13:56:38,31.3974,-102.3501,100,82,54.319999999999965,4.36
260,ironwood,US,2023-11-13 13:56:38,46.4547,-90.171,0,43,50.61199999999995,5.66
261,vorgashor,RU,2023-11-13 13:56:38,67.5833,63.95,94,97,0.4099999999999788,3.17
262,kapoeta,SS,2023-11-13 13:56:38,4.7717,33.5903,60,48,84.38000000000005,5.1
263,quellon,CL,2023-11-13 13:56:39,-43.1167,-73.6167,80,63,47.82200000000004,7
264,chadan,RU,2023-11-13 13:56:40,51.2833,91.5833,100,96,16.232000000000014,0.68
265,aromashevo,RU,2023-11-13 13:56:40,56.8602,68.6375,99,94,34.57400000000001,3.99
266,san mariano,PH,2023-11-13 13:56:40,7.5,126,19,87,69.33200000000002,1.83
267,natal,BR,2023-11-13 13:56:40,-5.795,-35.2094,40,74,82.88599999999997,5.14
268,wanning,CN,2023-11-13 13:52:37,18.8003,110.3967,100,89,74.26400000000004,6.33
269,codrington,AU,2023-11-13 13:56:40,-38.2667,141.9667,100,72,56.3,3.02
270,arkalyk,KZ,2023-11-13 13:56:41,50.2486,66.9114,100,80,37.75999999999998,3.97
271,fort bragg,US,2023-11-13 13:56:41,35.139,-79.006,0,43,66.092,1.54
272,cloquet,US,2023-11-13 13:51:45,46.7216,-92.4594,0,40,53.25800000000001,3.6
273,rongelap,MH,2023-11-13 13:56:41,11.1635,166.8941,100,85,82.61600000000001,8.61
274,dynow,PL,2023-11-13 13:56:41,49.8151,22.2339,84,78,42.242,5.69
275,salavan,LA,2023-11-13 13:56:41,15.7167,106.4167,76,96,70.91600000000001,1.29
276,utrik,MH,2023-11-13 13:56:41,11.2278,169.8474,53,83,82.81400000000004,8.49
277,knyaze-volkonskoye,RU,2023-11-13 13:56:42,48.4642,135.4567,56,99,3.2720000000000375,1.34
278,boguchany,RU,2023-11-13 13:56:42,58.3814,97.4531,100,97,34.12400000000001,4.47
279,sao tome,ST,2023-11-13 13:56:38,0.3365,6.7273,95,85,80.47400000000002,1.79
280,ginir,ET,2023-11-13 13:56:42,7.1333,40.7,88,89,58.658,2.53
281,bamboo flat,IN,2023-11-13 13:56:42,11.7,92.7167,75,89,80.95999999999998,4.12
282,talnakh,RU,2023-11-13 13:56:42,69.4865,88.3972,100,91,11.48000000000004,6.58
283,tulun,RU,2023-11-13 13:56:42,54.5611,100.5792,100,94,18.283999999999992,1.67
284,grenaa,DK,2023-11-13 13:56:42,56.4158,10.8783,100,93,45.08599999999997,12.04
285,xinyuan,CN,2023-11-13 13:56:43,37.3,99,0,33,18.175999999999988,2.06
286,pisco,PE,2023-11-13 13:56:43,-13.7,-76.2167,0,78,71.29399999999998,3.6
287,itoman,JP,2023-11-13 13:56:43,26.1247,127.6694,40,66,65.04800000000003,2.06
